sub,t,s,a,acc,r,rt,cond,block
2,173,5,1,1,0,NaN,2,2
2,174,6,2,NaN,1,391,2,2
2,175,6,2,NaN,1,656,2,2
2,176,4,2,1,1,763,2,2
2,177,5,1,1,1,NaN,2,2
2,178,4,1,0,0,NaN,2,2
2,179,5,2,0,0,1314,2,2
2,180,6,2,NaN,1,644,2,2
2,181,6,2,NaN,1,789,2,2
2,182,5,2,0,0,973,2,2
2,183,4,2,1,1,337,2,2
2,184,5,1,1,1,NaN,2,2
2,185,4,1,0,0,NaN,2,2
2,186,6,2,NaN,1,381,2,2
2,187,4,2,1,0,1045,2,2
2,188,6,2,NaN,0,643,2,2
2,189,5,2,0,0,365,2,2
2,190,6,2,NaN,0,680,2,2
2,191,4,2,1,1,545,2,2
2,192,5,1,1,1,NaN,2,2
2,193,4,1,0,1,NaN,2,2
2,194,5,1,1,0,NaN,2,2
2,195,6,2,NaN,1,400,2,2
2,196,5,2,0,0,1054,2,2
2,197,4,2,1,0,374,2,2
2,198,6,2,NaN,0,538,2,2
2,199,4,2,1,1,655,2,2
2,200,5,1,1,1,NaN,2,2
2,201,6,2,NaN,1,361,2,2
2,202,5,2,0,0,370,2,2
2,203,4,2,1,0,381,2,2
2,204,6,2,NaN,1,406,2,2
2,205,5,2,0,0,603,2,2
2,206,6,2,NaN,1,396,2,2
2,207,4,2,1,1,428,2,2
2,208,6,2,NaN,1,559,2,2
2,209,4,2,1,1,418,2,2
2,210,5,2,0,0,369,2,2
2,211,5,2,0,1,340,2,2
2,212,6,2,NaN,1,442,2,2
2,213,4,2,1,1,348,2,2
2,214,4,2,1,1,345,2,2
2,215,6,2,NaN,1,482,2,2
2,216,5,1,1,1,NaN,2,2
2,217,4,2,1,1,360,2,2
2,218,5,2,0,0,433,2,2
2,219,6,2,NaN,1,342,2,2
2,220,6,2,NaN,1,408,2,2
2,221,5,2,0,0,325,2,2
2,222,4,2,1,0,393,2,2
2,223,4,2,1,1,310,2,2
2,224,5,2,0,0,310,2,2
2,225,6,2,NaN,0,452,2,2
2,226,4,2,1,1,334,2,2
2,227,5,2,0,0,420,2,2
2,228,6,2,NaN,0,370,2,2
2,229,6,2,NaN,1,365,2,2
2,230,4,2,1,0,481,2,2
2,231,5,2,0,0,338,2,2
2,232,4,2,1,1,324,2,2
2,233,6,2,NaN,1,440,2,2
2,234,5,2,0,1,314,2,2
2,235,5,2,0,1,437,2,2
2,236,4,2,1,1,432,2,2
2,237,6,2,NaN,1,346,2,2
2,238,6,2,NaN,0,489,2,2
2,239,4,2,1,0,485,2,2
2,240,5,1,1,1,NaN,2,2
3,1,4,2,1,1,769,2,1
3,2,5,2,0,0,1529,2,1
3,3,6,2,1,1,566,2,1
3,4,6,2,1,1,542,2,1
3,5,5,2,0,0,868,2,1
3,6,4,2,1,0,533,2,1
3,7,4,2,1,1,759,2,1
3,8,6,2,1,1,630,2,1
3,9,5,1,1,1,NaN,2,1
3,10,4,2,1,0,726,2,1
3,11,5,2,0,0,795,2,1
3,12,6,2,1,1,537,2,1
3,13,5,1,1,0,NaN,2,1
3,14,6,2,1,1,619,2,1
3,15,4,2,1,1,747,2,1
3,16,5,1,1,1,NaN,2,1
3,17,6,2,1,1,598,2,1
3,18,4,1,0,1,NaN,2,1
3,19,4,1,0,0,NaN,2,1
3,20,6,2,1,1,609,2,1
3,21,5,1,1,1,NaN,2,1
3,22,6,2,1,1,919,2,1
3,23,5,1,1,1,NaN,2,1
3,24,4,2,1,1,1328,2,1
3,25,6,2,1,1,826,2,1
3,26,5,1,1,1,NaN,2,1
3,27,4,2,1,1,1159,2,1
3,28,5,1,1,1,NaN,2,1
3,29,4,1,0,0,NaN,2,1
3,30,6,2,1,1,867,2,1
3,31,4,1,0,1,NaN,2,1
3,32,5,1,1,0,NaN,2,1
3,33,6,2,1,1,525,2,1
3,34,5,1,1,1,NaN,2,1
3,35,4,2,1,1,413,2,1
3,36,6,2,1,0,1092,2,1
3,37,5,1,1,1,NaN,2,1
3,38,4,1,0,0,NaN,2,1
3,39,6,2,1,1,412,2,1
3,40,5,1,1,1,NaN,2,1
3,41,6,2,1,1,707,2,1
3,42,4,2,1,0,853,2,1
3,43,4,1,0,0,NaN,2,1
3,44,5,2,0,0,673,2,1
3,45,6,2,1,0,723,2,1
3,46,6,2,1,1,462,2,1
3,47,4,2,1,1,513,2,1
3,48,5,1,1,1,NaN,2,1
3,49,6,2,1,1,1672,2,1
3,50,4,2,1,0,964,2,1
3,51,5,1,1,1,NaN,2,1
3,52,4,2,1,1,1290,2,1
3,53,6,2,1,1,555,2,1
3,54,5,1,1,0,NaN,2,1
3,55,5,2,0,0,1598,2,1
3,56,6,2,1,1,1036,2,1
3,57,4,1,0,1,NaN,2,1
3,58,4,2,1,1,551,2,1
3,59,5,1,1,1,NaN,2,1
3,60,6,2,1,1,1814,2,1
3,61,4,2,1,1,816,2,1
3,62,5,1,1,1,NaN,2,1
3,63,6,2,1,1,1165,2,1
3,64,5,1,1,1,NaN,2,1
3,65,6,2,1,0,943,2,1
3,66,4,2,1,1,1130,2,1
3,67,6,2,1,1,822,2,1
3,68,5,1,1,1,NaN,2,1
3,69,4,2,1,1,654,2,1
3,70,6,2,1,1,388,2,1
3,71,5,1,1,1,NaN,2,1
3,72,4,2,1,1,824,2,1
3,73,5,1,1,1,NaN,2,1
3,74,6,2,1,1,556,2,1
3,75,4,2,1,1,1497,2,1
3,76,5,1,1,1,NaN,2,1
3,77,6,2,1,0,1108,2,1
3,78,4,2,1,1,755,2,1
3,79,5,2,0,0,714,2,1
3,80,6,2,1,1,1158,2,1
3,81,4,2,1,1,1053,2,1
3,82,5,2,0,0,1329,2,1
3,83,4,2,1,0,870,2,1
3,84,6,2,1,1,1006,2,1
3,85,6,2,1,1,543,2,1
3,86,5,1,1,1,NaN,2,1
3,87,4,2,1,1,814,2,1
3,88,5,1,1,0,NaN,2,1
3,89,4,2,1,0,1424,2,1
3,90,6,2,1,1,718,2,1
3,91,5,1,1,0,NaN,2,1
3,92,4,2,1,1,537,2,1
3,93,6,2,1,1,591,2,1
3,94,4,2,1,0,1528,2,1
3,95,5,1,1,0,NaN,2,1
3,96,6,1,0,0,NaN,2,1
3,97,5,1,1,1,NaN,2,1
3,98,6,2,1,1,434,2,1
3,99,4,2,1,1,810,2,1
3,100,5,1,1,0,NaN,2,1
3,101,4,1,0,1,NaN,2,1
3,102,6,1,0,0,NaN,2,1
3,103,4,2,1,0,568,2,1
3,104,5,2,0,0,1236,2,1
3,105,6,1,0,0,NaN,2,1
3,106,4,2,1,1,818,2,1
3,107,5,2,0,1,1092,2,1
3,108,6,2,1,0,533,2,1
3,109,4,2,1,0,715,2,1
3,110,5,2,0,0,1197,2,1
3,111,6,2,1,1,684,2,1
3,112,4,1,0,0,NaN,2,1
3,113,5,1,1,1,NaN,2,1
3,114,6,2,1,1,517,2,1
3,115,5,2,0,0,374,2,1
3,116,6,2,1,1,1004,2,1
3,117,4,1,0,0,NaN,2,1
3,118,4,2,1,1,1267,2,1
3,119,5,2,0,0,957,2,1
3,120,6,2,1,1,409,2,1
3,121,3,2,NaN,1,882,1,2
3,122,2,2,0,1,490,1,2
3,123,1,2,1,1,686,1,2
3,124,1,2,1,1,406,1,2
3,125,3,2,NaN,0,449,1,2
3,126,2,2,0,0,365,1,2
3,127,3,2,NaN,1,949,1,2
3,128,1,1,0,1,NaN,1,2
3,129,2,2,0,0,495,1,2
3,130,2,2,0,0,838,1,2
3,131,3,1,NaN,1,NaN,1,2
3,132,1,2,1,0,528,1,2
3,133,1,2,1,1,1003,1,2
3,134,2,2,0,0,1718,1,2
3,135,3,2,NaN,1,556,1,2
3,136,1,2,1,0,943,1,2
3,137,3,1,NaN,0,NaN,1,2
3,138,2,2,0,0,1121,1,2
3,139,2,2,0,0,1483,1,2
3,140,1,2,1,0,1638,1,2
3,141,3,1,NaN,1,NaN,1,2
3,142,1,1,0,0,NaN,1,2
3,143,3,1,NaN,0,NaN,1,2
3,144,2,1,1,1,NaN,1,2
3,145,3,1,NaN,0,NaN,1,2
3,146,2,2,0,0,903,1,2
3,147,1,2,1,0,760,1,2
3,148,2,1,1,1,NaN,1,2
3,149,3,1,NaN,1,NaN,1,2
3,150,1,1,0,0,NaN,1,2
3,151,1,2,1,1,785,1,2
3,152,3,1,NaN,0,NaN,1,2
3,153,2,1,1,1,NaN,1,2
3,154,1,1,0,1,NaN,1,2
3,155,3,1,NaN,0,NaN,1,2
3,156,2,1,1,0,NaN,1,2
3,157,2,1,1,1,NaN,1,2
3,158,1,2,1,1,418,1,2
3,159,3,1,NaN,1,NaN,1,2
3,160,3,1,NaN,0,NaN,1,2
3,161,2,2,0,0,909,1,2
3,162,1,2,1,1,1099,1,2
3,163,3,1,NaN,0,NaN,1,2
3,164,2,2,0,0,1127,1,2
3,165,1,2,1,1,832,1,2
3,166,2,1,1,0,NaN,1,2
3,167,1,2,1,0,470,1,2
3,168,3,1,NaN,1,NaN,1,2
3,169,3,1,NaN,0,NaN,1,2
3,170,1,1,0,0,NaN,1,2
3,171,2,2,0,0,1132,1,2
3,172,3,2,NaN,0,933,1,2
3,173,1,2,1,0,1355,1,2
3,174,2,2,0,0,1421,1,2
3,175,3,1,NaN,0,NaN,1,2
3,176,2,2,0,0,1123,1,2
3,177,1,1,0,0,NaN,1,2
3,178,3,1,NaN,0,NaN,1,2
3,179,2,2,0,0,1205,1,2
3,180,1,2,1,1,1166,1,2
3,181,3,2,NaN,1,1881,1,2
3,182,2,2,0,0,314,1,2
3,183,1,2,1,0,815,1,2
3,184,2,1,1,0,NaN,1,2
3,185,3,1,NaN,1,NaN,1,2
3,186,1,2,1,0,627,1,2
3,187,3,1,NaN,0,NaN,1,2
3,188,2,2,0,0,949,1,2
3,189,1,2,1,0,1788,1,2
3,190,3,2,NaN,0,366,1,2
3,191,1,2,1,0,778,1,2
3,192,2,1,1,0,NaN,1,2
3,193,3,2,NaN,0,920,1,2
3,194,2,2,0,0,1011,1,2
3,195,1,2,1,1,485,1,2
3,196,1,2,1,0,455,1,2
3,197,3,2,NaN,0,459,1,2
3,198,2,1,1,1,NaN,1,2
3,199,1,2,1,1,664,1,2
3,200,2,2,0,1,1067,1,2
3,201,3,2,NaN,0,979,1,2
3,202,1,2,1,1,450,1,2
3,203,3,1,NaN,1,NaN,1,2
3,204,2,2,0,1,1311,1,2
3,205,3,1,NaN,0,NaN,1,2
3,206,2,1,1,1,NaN,1,2
3,207,1,2,1,1,508,1,2
3,208,3,1,NaN,0,NaN,1,2
3,209,1,2,1,0,381,1,2
3,210,2,1,1,0,NaN,1,2
3,211,2,1,1,1,NaN,1,2
3,212,3,1,NaN,0,NaN,1,2
3,213,1,1,0,0,NaN,1,2
3,214,3,2,NaN,0,348,1,2
3,215,1,2,1,1,731,1,2
3,216,2,2,0,0,852,1,2
3,217,2,1,1,0,NaN,1,2
3,218,1,1,0,0,NaN,1,2
